city,province,year,gdp,gdp_per_capita,secondary_value_added,industrial_output,population,employment,average_wage,fdi,fixed_asset_investment,education_proxy,telecom_or_internet_proxy,foreign_trade,source_name,source_file
Jinhua,Zhejiang,2021,4704.0,6.662889518413598,4.05,,706.0,708321.0,,,,,,,ChinaUTC_China_City_Statistical_Yearbook_public_fallback_units_as_reported,chinautc_downloads
Jinhua,Zhejiang,2022,5355.0,10.818181818181818,3.15,,495.0,711714.0,,,,,,,ChinaUTC_China_City_Statistical_Yearbook_public_fallback_units_as_reported,chinautc_downloads
Jinhua,Zhejiang,2024,6011.0,8.395251396648044,2.77,,716.0,,,,,,,,ChinaUTC_China_City_Statistical_Yearbook_public_fallback_units_as_reported,chinautc_downloads
Lianyungang,Jiangsu,2021,3277.0,7.123913043478261,7.92,,460.0,434743.0,,,,,,,ChinaUTC_China_City_Statistical_Yearbook_public_fallback_units_as_reported,chinautc_downloads
Lianyungang,Jiangsu,2022,3728.0,6.99437148217636,6.94,,533.0,435949.0,,,,,,,ChinaUTC_China_City_Statistical_Yearbook_public_fallback_units_as_reported,chinautc_downloads
Lianyungang,Jiangsu,2024,4364.0,9.507625272331154,6.45,,459.0,,,,,,,,ChinaUTC_China_City_Statistical_Yearbook_public_fallback_units_as_reported,chinautc_downloads
Linyi,Shandong,2021,4805.0,4.356300997280145,1.91,,1103.0,721337.0,,,,,,,ChinaUTC_China_City_Statistical_Yearbook_public_fallback_units_as_reported,chinautc_downloads
Linyi,Shandong,2022,5466.0,4.551207327227311,1.88,,1201.0,730179.0,,,,,,,ChinaUTC_China_City_Statistical_Yearbook_public_fallback_units_as_reported,chinautc_downloads
Linyi,Shandong,2024,6105.0,5.5804387568555756,1.87,,1094.0,,,,,,,,ChinaUTC_China_City_Statistical_Yearbook_public_fallback_units_as_reported,chinautc_downloads
Luoyang,Henan,2021,5128.0,7.263456090651558,0.8,,706.0,697318.0,,,,,,,ChinaUTC_China_City_Statistical_Yearbook_public_fallback_units_as_reported,chinautc_downloads
Luoyang,Henan,2022,5447.0,7.243351063829787,2.08,,752.0,627586.0,,,,,,,ChinaUTC_China_City_Statistical_Yearbook_public_fallback_units_as_reported,chinautc_downloads
Luoyang,Henan,2024,5482.0,7.742937853107344,1.71,,708.0,,,,,,,,ChinaUTC_China_City_Statistical_Yearbook_public_fallback_units_as_reported,chinautc_downloads
Maoming,Guangdong,2021,3279.0,5.305825242718447,12.15,,618.0,495901.0,,,,,,,ChinaUTC_China_City_Statistical_Yearbook_public_fallback_units_as_reported,chinautc_downloads
