term,coef,std_err,p_value,n_obs,r_squared,model,formula,note,exposure_source
C(city)[T.Jingmen],-0.31640346527919216,0.1724358347826178,0.06651968948435742,380,0.4540465328668911,city_industry_post_pilot,log1p_projects ~ post_pilot + C(city) + C(industry_code) + C(year),"city, industry, and year FE (exploratory)",ex_ante
C(city)[T.Jinhua],-0.31640346527919344,0.17243583478261798,0.06651968948435667,380,0.4540465328668911,city_industry_post_pilot,log1p_projects ~ post_pilot + C(city) + C(industry_code) + C(year),"city, industry, and year FE (exploratory)",ex_ante
C(city)[T.Jining],-0.278046436817375,0.14000359667551387,0.04703388398849179,380,0.4540465328668911,city_industry_post_pilot,log1p_projects ~ post_pilot + C(city) + C(industry_code) + C(year),"city, industry, and year FE (exploratory)",ex_ante
C(city)[T.Jinjiang],-0.43479481412949605,0.14640347852901164,0.002979555040352973,380,0.4540465328668911,city_industry_post_pilot,log1p_projects ~ post_pilot + C(city) + C(industry_code) + C(year),"city, industry, and year FE (exploratory)",ex_ante
C(city)[T.Jinzhong],-0.17084899010838683,0.1572205288672172,0.2771766086068077,380,0.4540465328668911,city_industry_post_pilot,log1p_projects ~ post_pilot + C(city) + C(industry_code) + C(year),"city, industry, and year FE (exploratory)",ex_ante
C(city)[T.Jiujiang],-0.28838280022386353,0.1377984827036661,0.03636822011911634,380,0.4540465328668911,city_industry_post_pilot,log1p_projects ~ post_pilot + C(city) + C(industry_code) + C(year),"city, industry, and year FE (exploratory)",ex_ante
C(city)[T.Jiyuan],-0.2903312083867568,0.12094636200630536,0.016372888122333475,380,0.4540465328668911,city_industry_post_pilot,log1p_projects ~ post_pilot + C(city) + C(industry_code) + C(year),"city, industry, and year FE (exploratory)",ex_ante
C(city)[T.Karamay],-0.16871407012266665,0.13806119414460125,0.22169861311456007,380,0.4540465328668911,city_industry_post_pilot,log1p_projects ~ post_pilot + C(city) + C(industry_code) + C(year),"city, industry, and year FE (exploratory)",ex_ante
C(city)[T.Kunming],-0.2497921622987257,0.12304977768931868,0.042355619390329634,380,0.4540465328668911,city_industry_post_pilot,log1p_projects ~ post_pilot + C(city) + C(industry_code) + C(year),"city, industry, and year FE (exploratory)",ex_ante
C(city)[T.Lanzhou],-0.3151260840283014,0.1335835148976622,0.018323304911205887,380,0.4540465328668911,city_industry_post_pilot,log1p_projects ~ post_pilot + C(city) + C(industry_code) + C(year),"city, industry, and year FE (exploratory)",ex_ante
