year,table_code,filename,relative_path,size_bytes,hints,preview
2024,2-7,2024_2-7_地区生产总值构成(1).xlsx,2024\2024_2-7_地区生产总值构成(1).xlsx,41319,gdp|gdp_composition,2-7地区生产总值构成 | Composition of Gross Regional Product | 单位：% | 城 市 | City | 第一产业占 地区生产总值的比重 Primary Industry as Percentage to GRP | 第二产业占 地区生产总值的比重 Secondary Industry as Percentage to GRP | 第三产业占 地区生产总值的比重 Tertiary Industry as Percentage to GRP | 全市 Total City | 市辖区 Districts under City | 全市 Total City | 市辖区 Districts under City | 全市 Total City | 市辖区 Districts under City | 北京市 | Beijing | 0.24 | 0.24 | 14.91 | 14.91 | 84.85 | 84.85 | 天津市 | Tianjin | 1.60 | 1.60 | 35.74 | 35.74 | 62.65 | 62.65 | 河北省 | Hebei | 石家庄市 | Shijiazhuang | 7.66 | 1.83 | 30.65 | 28.82 | 61.69 | 69.35
2024,3-1,2024_3-1_人口状况.xlsx,2024\2024_3-1_人口状况.xlsx,28776,population,3-1人口状况 | Population | 单位：万人 | 城市 | City | 年末户籍人口 Household Registered Population at Year-end | 河北省 | Hebei | 辛集市 | Xinji | 62 | 晋州市 | Jinzhou | 57 | 新乐市 | Xinle | 52 | 遵化市 | Zunhua | 74 | 迁安市 | Qian'an | 77
2024,3-3,2024_3-3_地区生产总值.xlsx,2024\2024_3-3_地区生产总值.xlsx,46662,gdp|gdp_composition,3-3地区生产总值 | Gross Regional Product | 单位：万元 | (10 000 yuan) | 城 市 | City | 地区生产总值 Gross Regional Product | 第一产业增加值 Value-added of the Primary Industry | 第二产业增加值 Value-added of the Secondary Industry | 第三产业增加值 Value-added of the Tertiary Industry | 河北省 | Hebei | 辛集市 | Xinji | 4220352 | 567752 | 2308271 | 1344329 | 晋州市 | Jinzhou | 2045146 | 470668 | 526542 | 1047936
2024,,1-1_城市行政区划和区域分布.xlsx,2024\extracted_2024_中国城市统计年鉴2024【excel】\1、全国城市行政区划\1-1_城市行政区划和区域分布.xlsx,12701,,1-1城市行政区划和区域分布 | Administrative Division and Regional Distribution of Cities | 地区 | Region | 城市合计 Total | 按行政级别分组 Grouped by Administrative Levels | 直辖市 Municipality Directly under the Central Government | 副省级市 Vice-provincial City | 地级市 Prefecture-level City | 县级市 County-level City | 全国总计 | National Total | 694 | 4 | 15 | 278 | 397 | 北京 | Beijing | 1 | 1 | 天津 | Tianjin | 1 | 1 | 河北 | Hebei | 32 | 11 | 21 | 山西 | Shanxi | 22 | 11 | 11
2024,,1-2_分地区城市情况一览表.xlsx,2024\extracted_2024_中国城市统计年鉴2024【excel】\1、全国城市行政区划\1-2_分地区城市情况一览表.xlsx,14005,,1-2分地区城市情况一览表 | List of City's Basic Conditions by Region | 省级单位 | 地级及以上城市 | 下辖的县级城市 | 省级单位 | 地级及以上城市 | 下辖的县级城市 | City at Prefecture | County-level City | City at Prefecture | County-level City | Province | Level and above | Province | Level and above | 北京 | 汾 阳 Fenyang | Beijing | 内蒙古 | 呼和浩特Hohhot | 天津 | Inner Mongolia | Tianjin | 包 头 Baotou
2024,,1-2_续表 1 .xlsx,2024\extracted_2024_中国城市统计年鉴2024【excel】\1、全国城市行政区划\1-2_续表 1 .xlsx,13953,,1-2 续表 1 continued | 省级单位 | 地级及以上城市 | 下辖的县级城市 | 省级单位 | 地级及以上城市 | 下辖的县级城市 | Province | City at Prefecture | County-level City | Province | City at Prefecture | County-level City | Level and above | Level and above | 葫芦岛Huludao | 兴城 Xingcheng | 黑河 Heihe | 北 安 Beian | 吉林 | 长 春 Changchun | 榆树 Yushu | 五大连池 Wudalianchi | Jilin | 德惠 Dehui | 嫩 江 Nenjiang | 公主岭 Gongzhuling | 绥化 Suihua | 安 达 Anda | 吉 林Jilin | 桦甸 Huadian | 肇 东 Zhaodong | 蛟河 Jiaohe | 海 伦 Hailun
2024,,1-2_续表 2.xlsx,2024\extracted_2024_中国城市统计年鉴2024【excel】\1、全国城市行政区划\1-2_续表 2.xlsx,13816,,1—2 续表 2 continued | 省级单位 | 地级及以上城市 | 下辖的县级城市 | 省级单位 | 地级及以上城市 | 下辖的县级城市 | Province | City at Prefecture | County-level City | Province | City at Prefecture | County-level City | Level and above | Level and above | 桐乡 Tongxiang | 龙岩 Longyan | 漳平 Zhangping | 湖州 Huzhou | 宁德 Ningde | 福安 Fu'an | 绍兴 Shaoxing | 诸暨 Zhuji | 福鼎 Fading | 嵊州 Shengzhou | 江西 | 南昌 Nanchang | 金华 Jinhua | 兰溪 Lanxi | Jiangxi | 景德镇 Jingdezhen | 乐平 Leping | 义乌 Yiwu | 萍 乡 Pingxiang
2024,,1-2_续表 3.xlsx,2024\extracted_2024_中国城市统计年鉴2024【excel】\1、全国城市行政区划\1-2_续表 3.xlsx,13705,,1-2 续表 3 continued | 省级单位 Province | 地级及以上城市 City at Prefecture Level and above | 下辖的县级城市 County-level City | 省级单位 Province | 地级及以上城市 City at Prefecture Level and above | 下辖的县级城市 County-level City | 禹城 Yucheng | 监利 Jianli | 威海 Weihai | 荣成 Rongcheng | 宜昌 Yichang | 宜都 Yidu | 乳山   Rushan | 当阳 Dangyang | 聊城 Liaocheng | 临清 Linqing | 枝江 Zhijiang | 临沂 Linyi | 襄 阳 Xiangyang | 老河口 Laohekou | 日照 Rizhao | 枣阳 Zaoyang | 荷泽 Heze | 宜城 Yicheng | 滨州   B inzhou | 邹平 Zouping | 鄂州 Ezhou
2024,,1-2_续表 4.xlsx,2024\extracted_2024_中国城市统计年鉴2024【excel】\1、全国城市行政区划\1-2_续表 4.xlsx,13751,,1—2 续表 4 continued | 省级单位 | 地级及以上城市 | 下辖的县级城市 | 省级单位 | 地级及以上城市 | 下辖的县级城市 | Province | City at Prefecture | County-level City | Province | City at Prefecture | County-level City | Level and above | Level and above | 广东 | 广 州 Guangzhou | 崇 左 Chongzuo | 凭祥 Pingxiang | Guangdong | 韶 关 Shaoguan | 乐 昌 Lechang | 贺州 Hezhou | 南雄 Nanxiong | 河池 Hechi | 深圳 Shenzhen | 海南 | 海 口 Haikou | 珠海 Zhuhai | Hainan | 三 亚 Sanya
2024,,1-2_续表 5.xlsx,2024\extracted_2024_中国城市统计年鉴2024【excel】\1、全国城市行政区划\1-2_续表 5.xlsx,14890,,1-2 续表 5 continued | 省级单位 | 地级及以上城市 | 下辖的县级城市 | 省级单位 | 地级及以上城市 | 下辖的县级城市 | Province | City at Prefecture | County-levelCity | Province | City at Prefecture | County-level City | Level and above | Level and above | 贵州 | 贵阳 Guiyang | 清镇 Qingzhen | 天 水 Tianshui | Guizhou | 六盘水 Liupanshui | 盘州 Panzhou | 武 威 Wuwei | 遵义 Zunyi | 赤水 Chishui | 张 掖 Zhangye | 仁怀 Renhuai | 平 凉 Pingliang | 华 亭      Huating | 安顺 Anshun | 酒 泉 Jiuquan | 玉 门     Yumen | 铜仁 Tongren | 敦 煌    Dunhuang
